RUN	RecordedSimulation	recordedsimulation	1587632571220	ma¤ana	3.3.1
REQUEST	6		0.chunk.js	1587632578562	1587632579116	OK	 
REQUEST	6		request_2	1587632578563	1587632579117	OK	 
USER	RecordedSimulation	7	START	1587632579527	1587632579527
REQUEST	7		request_0	1587632579528	1587632579536	OK	 
REQUEST	7		uniovi.jpg	1587632579538	1587632579542	OK	 
REQUEST	7		bundle.js	1587632579538	1587632579576	OK	 
REQUEST	7		request_1	1587632579540	1587632579578	OK	 
REQUEST	7		request_5	1587632579578	1587632579582	OK	 
REQUEST	7		request_3	1587632579542	1587632579583	OK	 
REQUEST	7		request_4	1587632579576	1587632579584	OK	 
REQUEST	7		main.chunk.js	1587632579539	1587632579585	OK	 
REQUEST	7		request_6	1587632579583	1587632579586	OK	 
REQUEST	7		request_7	1587632579584	1587632579598	OK	 
REQUEST	7		request_8	1587632579585	1587632579600	OK	 
REQUEST	7		request_9	1587632579586	1587632579603	OK	 
REQUEST	7		request_10	1587632579586	1587632579604	OK	 
REQUEST	7		request_12	1587632579599	1587632579606	OK	 
REQUEST	7		request_13	1587632579601	1587632579607	OK	 
REQUEST	7		0.chunk.js	1587632579539	1587632580090	OK	 
REQUEST	7		request_2	1587632579540	1587632580091	OK	 
USER	RecordedSimulation	8	START	1587632580546	1587632580546
REQUEST	8		request_0	1587632580547	1587632580568	OK	 
REQUEST	8		uniovi.jpg	1587632580570	1587632580572	OK	 
REQUEST	8		bundle.js	1587632580570	1587632580623	OK	 
REQUEST	8		request_1	1587632580571	1587632580626	OK	 
REQUEST	8		request_5	1587632580627	1587632580629	OK	 
REQUEST	8		request_3	1587632580573	1587632580630	OK	 
REQUEST	8		request_4	1587632580624	1587632580631	OK	 
REQUEST	8		main.chunk.js	1587632580571	1587632580633	OK	 
REQUEST	8		request_7	1587632580631	1587632580634	OK	 
REQUEST	8		request_8	1587632580632	1587632580636	OK	 
REQUEST	8		request_6	1587632580630	1587632580636	OK	 
REQUEST	8		request_9	1587632580634	1587632580638	OK	 
REQUEST	8		request_10	1587632580635	1587632580639	OK	 
REQUEST	8		request_12	1587632580636	1587632580639	OK	 
REQUEST	8		request_13	1587632580637	1587632580640	OK	 
REQUEST	8		request_2	1587632580571	1587632581121	OK	 
REQUEST	8		0.chunk.js	1587632580570	1587632581122	OK	 
USER	RecordedSimulation	9	START	1587632581546	1587632581546
REQUEST	9		request_0	1587632581547	1587632581557	OK	 
REQUEST	9		uniovi.jpg	1587632581560	1587632581564	OK	 
REQUEST	9		bundle.js	1587632581560	1587632581607	OK	 
REQUEST	9		request_1	1587632581562	1587632581609	OK	 
REQUEST	9		request_5	1587632581610	1587632581613	OK	 
REQUEST	9		request_4	1587632581608	1587632581615	OK	 
REQUEST	9		request_3	1587632581564	1587632581616	OK	 
REQUEST	9		main.chunk.js	1587632581561	1587632581617	OK	 
REQUEST	9		request_6	1587632581613	1587632581617	OK	 
REQUEST	9		request_7	1587632581616	1587632581620	OK	 
REQUEST	9		request_8	1587632581616	1587632581621	OK	 
REQUEST	9		request_9	1587632581617	1587632581622	OK	 
REQUEST	9		request_10	1587632581618	1587632581622	OK	 
REQUEST	9		request_12	1587632581620	1587632581626	OK	 
REQUEST	9		request_13	1587632581621	1587632581627	OK	 
REQUEST	9		request_2	1587632581562	1587632582111	OK	 
REQUEST	9		0.chunk.js	1587632581561	1587632582112	OK	 
REQUEST	1		request_14	1587632582230	1587632582502	OK	 
USER	RecordedSimulation	10	START	1587632582546	1587632582546
REQUEST	10		request_0	1587632582547	1587632582554	OK	 
REQUEST	10		uniovi.jpg	1587632582556	1587632582560	OK	 
REQUEST	10		bundle.js	1587632582556	1587632582598	OK	 
REQUEST	10		request_1	1587632582557	1587632582600	OK	 
REQUEST	10		request_5	1587632582600	1587632582604	OK	 
REQUEST	10		main.chunk.js	1587632582557	1587632582606	OK	 
REQUEST	10		request_3	1587632582561	1587632582607	OK	 
REQUEST	10		request_4	1587632582598	1587632582608	OK	 
REQUEST	10		request_6	1587632582604	1587632582608	OK	 
REQUEST	10		request_7	1587632582606	1587632582611	OK	 
REQUEST	10		request_10	1587632582609	1587632582615	OK	 
REQUEST	10		request_8	1587632582608	1587632582615	OK	 
REQUEST	10		request_9	1587632582608	1587632582616	OK	 
REQUEST	10		request_12	1587632582611	1587632582617	OK	 
REQUEST	10		request_13	1587632582615	1587632582619	OK	 
REQUEST	1		bootstrap.min.css	1587632582525	1587632582653	OK	 
REQUEST	1		solid.css	1587632582525	1587632582711	OK	 
